Team,ELO,Blended,Blended_EloScale
Duke,1909.68,3.1796034261479273,2044.3331333576102
Arizona,1903.89,3.0510767696544234,2015.8775767785073
Michigan,1872.09,2.962433448709206,1996.252114611103
Houston,1777.42,2.5699657165389036,1909.3605073528943
Florida,1786.41,2.5413428087254655,1903.023450162078
Purdue,1767.19,2.4454280291963593,1881.7881009347323
Connecticut,1743.27,2.4022313282867027,1872.2244337523728
Virginia,1761.56,2.1518438619192484,1816.7891263204283
Gonzaga,1747.01,2.1095422439976934,1807.423628804236
St. John's,1805.23,2.0898224805404633,1803.0577107908618
Arkansas,1758.59,2.081374126739241,1801.1872613747666
Illinois,1673.8,1.7316803257327116,1723.765720883625
Vanderbilt,1686.14,1.6370670673147272,1702.81852594759
Kansas,1686.32,1.6213027610078488,1699.3283386021474
Alabama,1677.92,1.6143884726342903,1697.7975283454598
Wisconsin,1696.19,1.5694696943868116,1687.8525965254219
Nebraska,1650.11,1.5404586948625885,1681.4296165701348
Texas Tech,1659.65,1.534406265096774,1680.0896201651797
Iowa St.,1719.04,1.5227705913860845,1677.5135042010393
Michigan St.,1705.11,1.4235813751115691,1655.553200924349
UCLA,1663.38,1.3916880159070537,1648.4920720340351
VCU,1682.47,1.3817150632088124,1646.284079330359
Saint Mary's,1675.67,1.3641574143429789,1642.3968493632199
Louisville,1629.11,1.363212135882945,1642.1875665153161
North Carolina,1649.41,1.3400571154162566,1637.0610891529068
Utah St.,1661.89,1.3399633575452419,1637.04033133911
BYU,1619.36,1.284186793593026,1624.6915064756045
Akron,1624.24,1.2258179370159374,1611.76875296983
MIA OH,1608.32,1.223548824357791,1611.2663757557189
Kentucky,1612.68,1.1978697833621144,1605.5810850628382
Tennessee,1612.45,1.1796165796103775,1601.5398605707524
Miami (FL),1616.41,1.1354724581625042,1591.7664362884657
Santa Clara,1616.29,1.1328094867399163,1591.1768594952048
TCU,1638.72,1.1061646237807683,1585.2777376619467
South Florida,1610.68,1.082400374620243,1580.0163782288441
High Point,1574.1,1.0774598417518777,1578.9225536760068
Ohio State,1634.9,1.07743396786713,1578.916825247279
Clemson,1614.89,1.077120254529672,1578.8473697127836
Villanova,1610.29,1.0613022491880326,1575.3452935034773
McNeese,1583.45,1.0603963147623872,1575.1447213497372
Saint Louis,1574.54,1.036992891978894,1569.9632481882222
Georgia,1572.01,0.8822571657092633,1535.7050535552933
Dayton,1564.55,0.881246106215579,1535.4812069120187
Tulsa,1529.81,0.8470794466570192,1527.9167736597099
Belmont,1536.17,0.8442407859006839,1527.28829958309
Oklahoma,1570.09,0.8048742264915424,1518.5726184228315
Texas A&M,1555.68,0.7975863333289928,1516.9590927785239
Iowa,1549.57,0.7801133119505282,1513.0905991756588
UCF,1545.42,0.7597143521026585,1508.574308376985
Liberty,1504.67,0.7357864731629028,1503.27672162289
New Mexico,1516.94,0.7236765305569631,1500.5956034300236
