round,team_a_id_canon,team_a_name,team_b_id_canon,team_b_name,matchup_count,matchup_pct,team_a_wins,team_b_wins,team_a_win_pct_when_met,team_b_win_pct_when_met,simulation_count
R64,akron,Akron,texas_tech,Texas Tech,100000,100.0,43182,56818,43.181999999999995,56.818000000000005,100000
R64,alabama,Alabama,hofstra,Hofstra,100000,100.0,70354,29646,70.354,29.646,100000
R64,arizona,Arizona,long_island,Long Island,100000,100.0,93235,6765,93.235,6.765000000000001,100000
R64,arkansas,Arkansas,hawaii,Hawaii,100000,100.0,80509,19491,80.509,19.491,100000
R64,byu,BYU,texas,Texas,100000,100.0,63717,36283,63.717,36.283,100000
R64,cal_baptist,Cal Baptist,kansas,Kansas,100000,100.0,30618,69382,30.618000000000002,69.382,100000
R64,clemson,Clemson,iowa,Iowa,100000,100.0,56585,43415,56.584999999999994,43.415,100000
R64,connecticut,Connecticut,furman,Furman,100000,100.0,87344,12656,87.344,12.656,100000
R64,duke,Duke,siena,Siena,100000,100.0,92467,7533,92.467,7.5329999999999995,100000
R64,georgia,Georgia,saint_louis,Saint Louis,100000,100.0,46375,53625,46.375,53.625,100000
R64,gonzaga,Gonzaga,kennesaw_st,Kennesaw St.,100000,100.0,83425,16575,83.42500000000001,16.575,100000
R64,high_point,High Point,wisconsin,Wisconsin,100000,100.0,39374,60626,39.373999999999995,60.626000000000005,100000
R64,houston,Houston,idaho,Idaho,100000,100.0,90758,9242,90.75800000000001,9.242,100000
R64,howard,Howard,michigan,Michigan,100000,100.0,7759,92241,7.759,92.241,100000
R64,illinois,Illinois,penn,Penn,100000,100.0,77663,22337,77.66300000000001,22.337,100000
R64,iowa_st,Iowa St.,tennessee_st,Tennessee St.,100000,100.0,74515,25485,74.515,25.485000000000003,100000
R64,kentucky,Kentucky,santa_clara,Santa Clara,100000,100.0,51636,48364,51.636,48.364000000000004,100000
R64,louisville,Louisville,south_florida,South Florida,100000,100.0,56032,43968,56.032000000000004,43.968,100000
R64,mcneese,McNeese,vanderbilt,Vanderbilt,100000,100.0,37380,62620,37.38,62.62,100000
R64,miami_fl,Miami (FL),missouri,Missouri,100000,100.0,59208,40792,59.208000000000006,40.792,100000
R64,michigan_st,Michigan St.,n_dakota_st,N Dakota St.,100000,100.0,66335,33665,66.335,33.665,100000
R64,nebraska,Nebraska,troy,Troy,100000,100.0,73360,26640,73.36,26.640000000000004,100000
R64,north_carolina,North Carolina,vcu,VCU,100000,100.0,48883,51117,48.882999999999996,51.117000000000004,100000
R64,northern_iowa,Northern Iowa,st_johns,St. John's,100000,100.0,21563,78437,21.563,78.437,100000
R64,ohio_state,Ohio State,tcu,TCU,100000,100.0,49079,50921,49.079,50.92100000000001,100000
R64,purdue,Purdue,queens_nc,Queens (N.C.),100000,100.0,88075,11925,88.075,11.924999999999999,100000
R64,saint_marys,Saint Mary's,texas_a_and_m,Texas A&M,100000,100.0,62241,37759,62.241,37.759,100000
R64,ucf,UCF,ucla,UCLA,100000,100.0,36479,63521,36.479,63.52100000000001,100000
R64,utah_st,Utah St.,villanova,Villanova,100000,100.0,56054,43946,56.054,43.946000000000005,100000
R64,virginia,Virginia,wright_st,Wright St.,100000,100.0,81845,18155,81.845,18.154999999999998,100000
R64,mia_oh,MIA OH,tennessee,Tennessee,65210,65.21000000000001,33115,32095,50.78208863671216,49.21791136328784,100000
R64,florida,Florida,lehigh,Lehigh,53643,53.642999999999994,49301,4342,91.90574725500065,8.094252744999347,100000
R64,florida,Florida,pvamu,PVAMU,46357,46.357,43067,3290,92.902905710033,7.0970942899669955,100000
R64,smu,SMU,tennessee,Tennessee,34790,34.79,12321,22469,35.415349238286865,64.58465076171314,100000
R32,houston,Houston,saint_marys,Saint Mary's,56522,56.52199999999999,42015,14507,74.33388768974912,25.666112310250877,100000
R32,connecticut,Connecticut,ucla,UCLA,55468,55.467999999999996,39434,16034,71.0932429508906,28.906757049109395,100000
R32,kansas,Kansas,st_johns,St. John's,54401,54.400999999999996,21637,32764,39.773165934449736,60.226834065550264,100000
R32,byu,BYU,gonzaga,Gonzaga,53210,53.21,17213,35997,32.3491824844954,67.6508175155046,100000
R32,clemson,Clemson,florida,Florida,52286,52.286,11302,40984,21.615728875798492,78.3842711242015,100000
R32,miami_fl,Miami (FL),purdue,Purdue,52276,52.276,12579,39697,24.062667380824855,75.93733261917515,100000
R32,arizona,Arizona,utah_st,Utah St.,52216,52.215999999999994,42862,9354,82.08595066646238,17.914049333537612,100000
R32,michigan,Michigan,saint_louis,Saint Louis,49460,49.46,41889,7571,84.69268095430651,15.30731904569349,100000
R32,arkansas,Arkansas,wisconsin,Wisconsin,48766,48.766,29715,19051,60.93384735266374,39.06615264733626,100000
R32,duke,Duke,tcu,TCU,47093,47.093,40601,6492,86.21451171086998,13.785488289130019,100000
R32,nebraska,Nebraska,vanderbilt,Vanderbilt,46007,46.007,22137,23870,48.11659095355055,51.88340904644946,100000
R32,duke,Duke,ohio_state,Ohio State,45374,45.373999999999995,39235,6139,86.47022523912374,13.529774760876274,100000
R32,tennessee,Tennessee,virginia,Virginia,44695,44.695,13446,31249,30.083902002461127,69.91609799753887,100000
R32,georgia,Georgia,michigan,Michigan,42781,42.781000000000006,5878,36903,13.73974427900236,86.26025572099763,100000
R32,arizona,Arizona,villanova,Villanova,41019,41.019,34993,6026,85.3092469343475,14.690753065652503,100000
R32,florida,Florida,iowa,Iowa,40082,40.082,33154,6928,82.7154333616087,17.284566638391297,100000
R32,alabama,Alabama,texas_tech,Texas Tech,40025,40.025,20698,19327,51.71267957526546,48.287320424734546,100000
R32,illinois,Illinois,vcu,VCU,39609,39.609,22918,16691,57.860587240273674,42.139412759726326,100000
R32,iowa_st,Iowa St.,kentucky,Kentucky,38568,38.568000000000005,22022,16546,57.09914955403443,42.90085044596557,100000
R32,illinois,Illinois,north_carolina,North Carolina,38054,38.054,22226,15828,58.40647500919746,41.59352499080254,100000
R32,louisville,Louisville,michigan_st,Michigan St.,37126,37.126,18099,19027,48.750202014760546,51.249797985239454,100000
R32,iowa_st,Iowa St.,santa_clara,Santa Clara,35947,35.947,21051,14896,58.561215122263334,41.438784877736666,100000
R32,missouri,Missouri,purdue,Purdue,35799,35.799,6450,29349,18.017263052040562,81.98273694795944,100000
