team_id_canon,Team,R64,R32,Sweet16,Elite8,Final4,Championship,Champion,simulation_count
duke,Duke,100000,92467,79836,62149,47101,32951,20585,100000
michigan,Michigan,100000,92241,78792,62670,47508,28603,16847,100000
arizona,Arizona,100000,93235,77855,59141,41786,27106,16466,100000
houston,Houston,100000,90758,70392,51039,31344,15999,8129,100000
florida,Florida,100000,92368,74138,53898,32705,16428,8063,100000
purdue,Purdue,100000,88075,69046,45218,21926,11644,5620,100000
connecticut,Connecticut,100000,87344,65318,47942,21864,11952,5542,100000
virginia,Virginia,100000,81845,58124,40026,18336,7951,3330,100000
gonzaga,Gonzaga,100000,83425,59643,31422,13222,6319,2669,100000
st_johns,St. John's,100000,78437,51392,18864,10537,5186,2097,100000
arkansas,Arkansas,100000,80509,52162,20058,10308,4810,2009,100000
illinois,Illinois,100000,77663,45144,18755,8283,2865,948,100000
alabama,Alabama,100000,70354,38469,12400,6212,2014,661,100000
vanderbilt,Vanderbilt,100000,62620,36275,14613,6197,1998,649,100000
iowa_st,Iowa St.,100000,74515,43073,19998,6850,2153,646,100000
nebraska,Nebraska,100000,73360,38699,14987,6061,1895,535,100000
kansas,Kansas,100000,69382,32163,9249,4208,1640,497,100000
texas_tech,Texas Tech,100000,56818,30885,9525,4614,1461,431,100000
wisconsin,Wisconsin,100000,60626,27667,8218,3328,1239,400,100000
michigan_st,Michigan St.,100000,66335,35806,14067,3860,1343,363,100000
ucla,UCLA,100000,63521,21936,11693,3169,1114,304,100000
louisville,Louisville,100000,56032,30291,11489,3061,1059,276,100000
saint_marys,Saint Mary's,100000,62241,18895,8957,3381,963,264,100000
vcu,VCU,100000,51117,24991,8586,3223,954,247,100000
north_carolina,North Carolina,100000,48883,23534,8003,2948,805,207,100000
byu,BYU,100000,63717,24554,8980,2404,726,184,100000
kentucky,Kentucky,100000,51636,25580,10145,2821,758,183,100000
utah_st,Utah St.,100000,56054,12229,5200,1917,617,178,100000
tennessee,Tennessee,100000,54564,19942,9658,2736,727,177,100000
santa_clara,Santa Clara,100000,48364,23235,9050,2458,605,158,100000
akron,Akron,100000,43182,20576,5397,2272,595,151,100000
miami_fl,Miami (FL),100000,59208,17451,6843,1750,504,124,100000
mia_oh,MIA OH,65210,33115,12369,5992,1749,463,106,100000
clemson,Clemson,100000,56585,14557,6101,1920,447,97,100000
south_florida,South Florida,100000,43968,21170,7009,1584,428,96,100000
tcu,TCU,100000,50921,9053,3340,1235,370,95,100000
saint_louis,Saint Louis,100000,53625,10411,4300,1621,378,93,100000
mcneese,McNeese,100000,37380,17190,5108,1523,342,84,100000
ohio_state,Ohio State,100000,49079,8577,3149,1094,327,72,100000
high_point,High Point,100000,39374,14117,3064,958,279,60,100000
villanova,Villanova,100000,43946,8090,3012,918,251,58,100000
georgia,Georgia,100000,46375,8198,3125,1133,248,53,100000
texas_a_and_m,Texas A&M,100000,37759,8256,2959,832,170,30,100000
iowa,Iowa,100000,43415,9344,3347,919,172,29,100000
ucf,UCF,100000,36479,8859,3464,645,148,29,100000
hofstra,Hofstra,100000,29646,10070,1921,632,112,24,100000
cal_baptist,Cal Baptist,100000,30618,8816,1452,435,116,23,100000
missouri,Missouri,100000,40792,9531,2914,513,105,21,100000
northern_iowa,Northern Iowa,100000,21563,7629,1184,347,81,18,100000
n_dakota_st,N Dakota St.,100000,33665,12733,3221,564,115,14,100000
texas,Texas,100000,36283,10044,2573,438,91,14,100000
tennessee_st,Tennessee St.,100000,25485,8112,1927,331,50,9,100000
wright_st,Wright St.,100000,18155,6540,2181,396,60,7,100000
hawaii,Hawaii,100000,19491,6054,932,204,32,6,100000
troy,Troy,100000,26640,7836,1580,313,37,4,100000
kennesaw_st,Kennesaw St.,100000,16575,5759,1171,156,27,4,100000
smu,SMU,34790,12321,3025,1023,174,26,3,100000
furman,Furman,100000,12656,3887,1115,148,26,3,100000
howard,Howard,100000,7759,2599,662,157,19,3,100000
idaho,Idaho,100000,9242,2457,527,89,9,2,100000
siena,Siena,100000,7533,2534,613,148,33,1,100000
penn,Penn,100000,22337,6331,1174,219,23,1,100000
queens_nc,Queens (N.C.),100000,11925,3972,879,118,17,1,100000
long_island,Long Island,100000,6765,1826,375,54,10,0,100000
lehigh,Lehigh,53643,4342,1172,239,28,3,0,100000
pvamu,PVAMU,46357,3290,789,127,15,1,0,100000
