season,team_id_canon,Team,elo,efficiency_rating,ap_latest_rank,ap_preseason_rank,efficiency_source
2026,abilene_christian,Abilene Christian,1180.9,14.0,,,torvik
2026,air_force,Air Force,987.19,3.0,,,torvik
2026,akron,Akron,1624.24,29.167542795398205,,,torvik
2026,alabama,Alabama,1677.92,23.856161706067702,18.0,15.0,torvik
2026,alabama_a_and_m,Alabama A&M,1158.33,18.0,,,torvik
2026,alabama_st,Alabama St.,,10.0,,,torvik
2026,alabama_state,Alabama State,1047.73,,,,torvik
2026,albany,Albany,1075.57,11.0,,,torvik
2026,alcorn_st,Alcorn St.,,9.0,,,torvik
2026,alcorn_state,Alcorn State,1058.62,,,,torvik
2026,american,American,1154.46,16.0,,,torvik
2026,appalachian_st,Appalachian St.,,19.0,,,torvik
2026,appalachian_state,Appalachian State,1304.09,,,,torvik
2026,arizona,Arizona,1903.89,32.98845376248818,2.0,13.0,torvik
2026,arizona_st,Arizona St.,,17.0,,,torvik
2026,arizona_state,Arizona State,1505.67,,,,torvik
2026,arkansas,Arkansas,1758.59,26.89252060603813,14.0,14.0,torvik
2026,arkansas_pine_bluff,Arkansas-Pine Bluff,1079.42,13.0,,,torvik
2026,arkansas_st,Arkansas St.,,20.0,,,torvik
2026,arkansas_state,Arkansas State,1358.88,,,,torvik
2026,army,Army,1015.36,11.0,,,torvik
2026,auburn,Auburn,1506.75,18.0,,20.0,torvik
2026,austin_peay,Austin Peay,1335.14,22.0,,,torvik
2026,ball_st,Ball St.,,12.0,,,torvik
2026,ball_state,Ball State,1198.07,,,,torvik
2026,baylor,Baylor,1470.58,16.556049226990993,,,torvik
2026,bellarmine,Bellarmine,1158.73,13.0,,,torvik
2026,belmont,Belmont,1536.17,26.0,,,torvik
2026,bethune_cookman,Bethune-Cookman,1249.8,17.0,,,torvik
2026,binghamton,Binghamton,1010.69,8.0,,,torvik
2026,boise_st,Boise St.,,21.0,,,torvik
2026,boise_state,Boise State,1529.91,,,,torvik
2026,boston_college,Boston College,1303.72,11.0,,,torvik
2026,boston_university,Boston University,1252.09,17.0,,,torvik
2026,bowling_green,Bowling Green,1258.15,18.0,,,torvik
2026,bradley,Bradley,1471.97,21.454180074377057,,,torvik
2026,brown,Brown,1152.2,9.0,,,torvik
2026,bryant,Bryant,1046.42,9.0,,,torvik
2026,bucknell,Bucknell,1076.15,10.0,,,torvik
2026,buffalo,Buffalo,1202.82,17.0,,,torvik
2026,butler,Butler,1388.31,16.0,,,torvik
2026,byu,BYU,1619.36,23.56561949820983,,8.0,torvik
2026,cal_baptist,Cal Baptist,1499.14,25.14680089551628,,,torvik
2026,cal_poly,Cal Poly,1277.57,14.0,,,torvik
2026,cal_st_bakersfield,Cal St. Bakersfield,,8.0,,,torvik
2026,cal_st_fullerton,Cal St. Fullerton,,18.0,,,torvik
2026,cal_st_northridge,Cal St. Northridge,,20.0,,,torvik
2026,cal_state_bakersfield,Cal State Bakersfield,1018.78,,,,torvik
2026,cal_state_fullerton,Cal State Fullerton,1348.24,,,,torvik
2026,cal_state_northridge,Cal State Northridge,1361.07,,,,torvik
2026,california,California,1465.29,21.771577169590135,,,torvik
2026,campbell,Campbell,1306.45,16.0,,,torvik
2026,canisius,Canisius,1061.74,10.0,,,torvik
2026,central_arkansas,Central Arkansas,1373.34,22.0,,,torvik
2026,central_connecticut,Central Connecticut,1224.14,18.0,,,torvik
2026,central_michigan,Central Michigan,1142.5,10.0,,,torvik
2026,charleston,Charleston,1456.4,21.0,,,torvik
2026,charleston_southern,Charleston Southern,1167.16,15.0,,,torvik
2026,charlotte,Charlotte,1339.26,17.0,,,torvik
2026,chattanooga,Chattanooga,1185.36,13.0,,,torvik
2026,chicago_st,Chicago St.,,7.0,,,torvik
2026,chicago_state,Chicago State,1009.98,,,,torvik
2026,cincinnati,Cincinnati,1541.76,18.0,,,torvik
2026,clemson,Clemson,1614.89,24.45759764683848,,,torvik
2026,cleveland_st,Cleveland St.,,11.0,,,torvik
2026,cleveland_state,Cleveland State,1160.84,,,,torvik
2026,coastal_carolina,Coastal Carolina,1345.04,19.0,,,torvik
2026,colgate,Colgate,1209.35,18.0,,,torvik
2026,colorado,Colorado,1454.44,17.312753391014294,,,torvik
2026,colorado_st,Colorado St.,,21.683751016131176,,,torvik
2026,colorado_state,Colorado State,1495.56,,,,torvik
2026,columbia,Columbia,1223.51,16.0,,,torvik
2026,connecticut,Connecticut,1743.27,29.961279925352063,7.0,4.0,torvik
2026,coppin_st,Coppin St.,,7.0,,,torvik
2026,coppin_state,Coppin State,1015.6,,,,torvik
2026,cornell,Cornell,1357.09,15.0,,,torvik
2026,creighton,Creighton,1413.7,15.614659564100332,,23.0,torvik
2026,dartmouth,Dartmouth,1174.8,11.0,,,torvik
2026,davidson,Davidson,1384.21,20.0,,,torvik
2026,dayton,Dayton,1564.55,23.545819925622943,,,torvik
2026,delaware,Delaware,1197.97,11.0,,,torvik
2026,delaware_st,Delaware St.,,9.0,,,torvik
2026,delaware_state,Delaware State,965.34,,,,torvik
2026,denver,Denver,1196.25,15.0,,,torvik
2026,depaul,DePaul,1373.53,16.0,,,torvik
2026,detroit,Detroit,1349.58,,,,torvik
2026,detroit_mercy,Detroit Mercy,,17.0,,,torvik
2026,drake,Drake,1299.35,14.0,,,torvik
2026,drexel,Drexel,1306.32,17.0,,,torvik
2026,duke,Duke,1909.68,32.98465989380002,1.0,6.0,torvik
2026,duquesne,Duquesne,1379.83,18.0,,,torvik
2026,east_carolina,East Carolina,1256.25,11.0,,,torvik
2026,east_tennessee_st,East Tennessee St.,,23.0,,,torvik
2026,east_tennessee_state,East Tennessee State,1363.5,,,,torvik
2026,east_texas_a_and_m,East Texas A&M,1050.0,11.0,,,torvik
2026,eastern_illinois,Eastern Illinois,1109.88,13.0,,,torvik
2026,eastern_kentucky,Eastern Kentucky,1118.12,11.0,,,torvik
2026,eastern_michigan,Eastern Michigan,1093.56,10.0,,,torvik
2026,eastern_washington,Eastern Washington,1260.32,14.0,,,torvik
2026,elon,Elon,1174.15,14.0,,,torvik
2026,evansville,Evansville,1146.79,7.0,,,torvik
2026,fairfield,Fairfield,1335.46,21.0,,,torvik
2026,fairleigh_dickinson,Fairleigh Dickinson,1027.82,11.0,,,torvik
2026,fau,FAU,1357.47,,,,torvik
2026,fgcu,FGCU,1222.25,,,,torvik
2026,fiu,FIU,1249.34,15.0,,,torvik
2026,florida,Florida,1786.41,26.0,4.0,3.0,torvik
2026,florida_a_and_m,Florida A&M,1206.72,15.0,,,torvik
2026,florida_atlantic,Florida Atlantic,,18.0,,,torvik
2026,florida_gulf_coast,Florida Gulf Coast,,16.0,,,torvik
2026,florida_st,Florida St.,,18.0,,,torvik
2026,florida_state,Florida State,1555.8,,,,torvik
2026,fordham,Fordham,1320.13,17.0,,,torvik
2026,fresno_st,Fresno St.,,13.0,,,torvik
2026,fresno_state,Fresno State,1247.64,,,,torvik
2026,furman,Furman,1383.24,22.038720074647937,,,torvik
2026,gardner_webb,Gardner-Webb,960.65,5.0,,,torvik
2026,george_mason,George Mason,1426.65,23.0,,,torvik
2026,george_washington,George Washington,1375.37,18.385041687352743,,,torvik
2026,georgetown,Georgetown,1422.6,16.0,,,torvik
2026,georgia,Georgia,1572.01,22.548343637198233,,,torvik
2026,georgia_southern,Georgia Southern,1352.29,21.0,,,torvik
2026,georgia_st,Georgia St.,,10.0,,,torvik
2026,georgia_state,Georgia State,1106.98,,,,torvik
2026,georgia_tech,Georgia Tech,1255.94,11.0,,,torvik
2026,gonzaga,Gonzaga,1747.01,30.9364347931528,12.0,21.0,torvik
2026,grambling_st,Grambling St.,,14.0,,,torvik
2026,grambling_state,Grambling State,1056.27,,,,torvik
2026,grand_canyon,Grand Canyon,1476.6,20.0,,,torvik
2026,green_bay,Green Bay,1299.47,18.0,,,torvik
2026,hampton,Hampton,1183.59,13.0,,,torvik
2026,harvard,Harvard,1369.27,17.0,,,torvik
2026,hawaii,Hawaii,1447.03,24.10747939396187,,,torvik
2026,high_point,High Point,1574.1,30.148846386908065,,,torvik
2026,hofstra,Hofstra,1491.42,24.143838293932298,,,torvik
2026,holy_cross,Holy Cross,1031.05,11.0,,,torvik
2026,houston,Houston,1777.42,28.96187516730833,5.0,2.0,torvik
2026,houston_christian,Houston Christian,1121.83,12.0,,,torvik
2026,howard,Howard,1351.42,24.015690825470266,,,torvik
2026,idaho,Idaho,1324.6,21.03812483269167,,,torvik
2026,idaho_st,Idaho St.,,13.0,,,torvik
2026,idaho_state,Idaho State,1096.88,,,,torvik
2026,illinois,Illinois,1673.8,24.96403476419251,13.0,17.0,torvik
2026,illinois_chicago,Illinois Chicago,,19.228422830409865,,,torvik
2026,illinois_st,Illinois St.,,20.76069762299992,,,torvik
2026,illinois_state,Illinois State,1431.42,,,,torvik
2026,incarnate_word,Incarnate Word,1104.13,12.0,,,torvik
2026,indiana,Indiana,1495.99,18.0,,,torvik
2026,indiana_st,Indiana St.,,11.0,,,torvik
2026,indiana_state,Indiana State,1193.28,,,,torvik
2026,iona,Iona,1255.99,18.0,,,torvik
2026,iowa,Iowa,1549.57,21.54240235316152,,,torvik
2026,iowa_st,Iowa St.,1719.04,27.977250932423992,,,torvik
2026,iu_indianapolis,IU Indianapolis,1003.57,,,,torvik
2026,iu_indy,IU Indy,,7.0,,,torvik
2026,jackson_st,Jackson St.,,12.0,,,torvik
2026,jackson_state,Jackson State,1138.37,,,,torvik
2026,jacksonville,Jacksonville,1114.88,12.0,,,torvik
2026,jacksonville_st,Jacksonville St.,,15.0,,,torvik
2026,jacksonville_state,Jacksonville State,1255.26,,,,torvik
2026,james_madison,James Madison,1346.71,18.0,,,torvik
2026,kansas,Kansas,1686.32,23.85319910448372,17.0,19.0,torvik
2026,kansas_st,Kansas St.,,12.0,,,torvik
2026,kansas_state,Kansas State,1368.65,,,,torvik
2026,kennesaw_st,Kennesaw St.,1409.69,21.0635652068472,,,torvik
2026,kent_st,Kent St.,,24.23930237700008,,,torvik
2026,kent_state,Kent State,1465.33,,,,torvik
2026,kentucky,Kentucky,1612.68,21.485932882542507,,9.0,torvik
