team_id_canon,Team,name_bracket,name_elo,name_efficiency,name_ap_latest,name_ap_preseason
abilene_christian,Abilene Christian,,Abilene Christian,Abilene Christian,,
air_force,Air Force,,Air Force,Air Force,,
akron,Akron,Akron,Akron,Akron,,
alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama
alabama_a_and_m,Alabama A&M,,Alabama A&M,Alabama A&M,,
alabama_st,Alabama St.,,,Alabama St.,,
alabama_state,Alabama State,,Alabama State,,,
albany,Albany,,Albany,Albany,,
alcorn_st,Alcorn St.,,,Alcorn St.,,
alcorn_state,Alcorn State,,Alcorn State,,,
american,American,,American,American,,
appalachian_st,Appalachian St.,,,Appalachian St.,,
appalachian_state,Appalachian State,,Appalachian State,,,
arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona
arizona_st,Arizona St.,,,Arizona St.,,
arizona_state,Arizona State,,Arizona State,,,
arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas
arkansas_pine_bluff,Arkansas-Pine Bluff,,Arkansas-Pine Bluff,Arkansas Pine Bluff,,
arkansas_st,Arkansas St.,,,Arkansas St.,,
arkansas_state,Arkansas State,,Arkansas State,,,
army,Army,,Army,Army,,
auburn,Auburn,,Auburn,Auburn,,Auburn
austin_peay,Austin Peay,,Austin Peay,Austin Peay,,
ball_st,Ball St.,,,Ball St.,,
ball_state,Ball State,,Ball State,,,
baylor,Baylor,,Baylor,Baylor,,
bellarmine,Bellarmine,,Bellarmine,Bellarmine,,
belmont,Belmont,,Belmont,Belmont,,
bethune_cookman,Bethune-Cookman,,Bethune-Cookman,Bethune Cookman,,
binghamton,Binghamton,,Binghamton,Binghamton,,
boise_st,Boise St.,,,Boise St.,,
boise_state,Boise State,,Boise State,,,
boston_college,Boston College,,Boston College,Boston College,,
boston_university,Boston University,,Boston University,Boston University,,
bowling_green,Bowling Green,,Bowling Green,Bowling Green,,
bradley,Bradley,,Bradley,Bradley,,
brown,Brown,,Brown,Brown,,
bryant,Bryant,,Bryant,Bryant,,
bucknell,Bucknell,,Bucknell,Bucknell,,
buffalo,Buffalo,,Buffalo,Buffalo,,
butler,Butler,,Butler,Butler,,
byu,BYU,BYU,BYU,BYU,,BYU
cal_baptist,Cal Baptist,Cal Baptist,California Baptist,Cal Baptist,,
cal_poly,Cal Poly,,Cal Poly,Cal Poly,,
cal_st_bakersfield,Cal St. Bakersfield,,,Cal St. Bakersfield,,
cal_st_fullerton,Cal St. Fullerton,,,Cal St. Fullerton,,
cal_st_northridge,Cal St. Northridge,,,Cal St. Northridge,,
cal_state_bakersfield,Cal State Bakersfield,,Cal State Bakersfield,,,
cal_state_fullerton,Cal State Fullerton,,Cal State Fullerton,,,
cal_state_northridge,Cal State Northridge,,Cal State Northridge,,,
california,California,,California,California,,
campbell,Campbell,,Campbell,Campbell,,
canisius,Canisius,,Canisius,Canisius,,
central_arkansas,Central Arkansas,,Central Arkansas,Central Arkansas,,
central_connecticut,Central Connecticut,,Central Connecticut,Central Connecticut,,
central_michigan,Central Michigan,,Central Michigan,Central Michigan,,
charleston,Charleston,,Charleston,Charleston,,
charleston_southern,Charleston Southern,,Charleston Southern,Charleston Southern,,
charlotte,Charlotte,,Charlotte,Charlotte,,
chattanooga,Chattanooga,,Chattanooga,Chattanooga,,
chicago_st,Chicago St.,,,Chicago St.,,
chicago_state,Chicago State,,Chicago State,,,
cincinnati,Cincinnati,,Cincinnati,Cincinnati,,
clemson,Clemson,Clemson,Clemson,Clemson,,
cleveland_st,Cleveland St.,,,Cleveland St.,,
cleveland_state,Cleveland State,,Cleveland State,,,
coastal_carolina,Coastal Carolina,,Coastal Carolina,Coastal Carolina,,
colgate,Colgate,,Colgate,Colgate,,
colorado,Colorado,,Colorado,Colorado,,
colorado_st,Colorado St.,,,Colorado St.,,
colorado_state,Colorado State,,Colorado State,,,
columbia,Columbia,,Columbia,Columbia,,
connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut,Connecticut
coppin_st,Coppin St.,,,Coppin St.,,
coppin_state,Coppin State,,Coppin State,,,
cornell,Cornell,,Cornell,Cornell,,
creighton,Creighton,,Creighton,Creighton,,Creighton
dartmouth,Dartmouth,,Dartmouth,Dartmouth,,
davidson,Davidson,,Davidson,Davidson,,
dayton,Dayton,,Dayton,Dayton,,
delaware,Delaware,,Delaware,Delaware,,
delaware_st,Delaware St.,,,Delaware St.,,
delaware_state,Delaware State,,Delaware State,,,
denver,Denver,,Denver,Denver,,
depaul,DePaul,,DePaul,DePaul,,
detroit,Detroit,,Detroit,,,
detroit_mercy,Detroit Mercy,,,Detroit Mercy,,
drake,Drake,,Drake,Drake,,
drexel,Drexel,,Drexel,Drexel,,
duke,Duke,Duke,Duke,Duke,Duke,Duke
duquesne,Duquesne,,Duquesne,Duquesne,,
east_carolina,East Carolina,,East Carolina,East Carolina,,
east_tennessee_st,East Tennessee St.,,,East Tennessee St.,,
east_tennessee_state,East Tennessee State,,East Tennessee State,,,
east_texas_a_and_m,East Texas A&M,,East Texas A&M,East Texas A&M,,
eastern_illinois,Eastern Illinois,,Eastern Illinois,Eastern Illinois,,
eastern_kentucky,Eastern Kentucky,,Eastern Kentucky,Eastern Kentucky,,
eastern_michigan,Eastern Michigan,,Eastern Michigan,Eastern Michigan,,
eastern_washington,Eastern Washington,,Eastern Washington,Eastern Washington,,
elon,Elon,,Elon,Elon,,
evansville,Evansville,,Evansville,Evansville,,
fairfield,Fairfield,,Fairfield,Fairfield,,
fairleigh_dickinson,Fairleigh Dickinson,,Fairleigh Dickinson,Fairleigh Dickinson,,
fau,FAU,,FAU,,,
fgcu,FGCU,,FGCU,,,
fiu,FIU,,FIU,FIU,,
florida,Florida,Florida,Florida,Florida,Florida,Florida
florida_a_and_m,Florida A&M,,Florida A&M,Florida A&M,,
florida_atlantic,Florida Atlantic,,,Florida Atlantic,,
florida_gulf_coast,Florida Gulf Coast,,,Florida Gulf Coast,,
florida_st,Florida St.,,,Florida St.,,
florida_state,Florida State,,Florida State,,,
fordham,Fordham,,Fordham,Fordham,,
fresno_st,Fresno St.,,,Fresno St.,,
fresno_state,Fresno State,,Fresno State,,,
furman,Furman,Furman,Furman,Furman,,
gardner_webb,Gardner-Webb,,Gardner-Webb,Gardner Webb,,
george_mason,George Mason,,George Mason,George Mason,,
george_washington,George Washington,,George Washington,George Washington,,
georgetown,Georgetown,,Georgetown,Georgetown,,
georgia,Georgia,Georgia,Georgia,Georgia,,
georgia_southern,Georgia Southern,,Georgia Southern,Georgia Southern,,
georgia_st,Georgia St.,,,Georgia St.,,
georgia_state,Georgia State,,Georgia State,,,
georgia_tech,Georgia Tech,,Georgia Tech,Georgia Tech,,
gonzaga,Gonzaga,Gonzaga,Gonzaga,Gonzaga,Gonzaga,Gonzaga
grambling_st,Grambling St.,,,Grambling St.,,
grambling_state,Grambling State,,Grambling State,,,
grand_canyon,Grand Canyon,,Grand Canyon,Grand Canyon,,
green_bay,Green Bay,,Green Bay,Green Bay,,
hampton,Hampton,,Hampton,Hampton,,
